  NO     TB   C1    K1   C2    K2   F
--------------------------------------
   0     16    1    40    0     0   0
   1     32    1    56    0     0   0
   2     56    1    80    0     0   0
   3     88    1   112    0     0   0
   4    120    1   144    0     0   0
   5    152    1   176    0     0   0
   6    176    1   200    0     0   0
   7    208    1   232    0     0   0
   8    224    1   248    0     0   0
   9    256    1   280    0     0   0
  10     24    1    48    0     0   0
  11     56    1    80    0     0   0
  12     88    1   112    0     0   0
  13    144    1   168    0     0   0
  14    176    1   200    0     0   0
  15    208    1   232    0     0   0
  16    224    1   248    0     0   0
  17    256    1   280    0     0   0
  18    328    1   352    0     0   0
  19    344    1   368    0     0   0
  20     32    1    56    0     0   0
  21     72    1    96    0     0   0
  22    144    1   168    0     0   0
  23    176    1   200    0     0   0
  24    208    1   232    0     0   0
  25    256    1   280    0     0   0
  26    296    1   320    0     0   0
  27    328    1   352    0     0   0
  28    376    1   400    0     0   0
  29    424    1   448    0     0   0
  30     40    1    64    0     0   0
  31    104    1   128    0     0   0
  32    176    1   200    0     0   0
  33    208    1   232    0     0   0
  34    256    1   280    0     0   0
  35    328    1   352    0     0   0
  36    392    1   416    0     0   0
  37    440    1   464    0     0   0
  38    504    1   528    0     0   0
  39    568    1   592    0     0   0
  40     56    1    80    0     0   0
  41    120    1   144    0     0   0
  42    208    1   232    0     0   0
  43    256    1   280    0     0   0
  44    328    1   352    0     0   0
  45    408    1   432    0     0   0
  46    488    1   512    0     0   0
  47    552    1   576    0     0   0
  48    632    1   656    0     0   0
  49    696    1   720    0     0   0
  50     72    1    96    0     0   0
  51    144    1   168    0     0   0
  52    224    1   248    0     0   0
  53    328    1   352    0     0   0
  54    424    1   448    0     0   0
  55    504    1   528    0     0   0
  56    600    1   624    0     0   0
  57    680    1   704    0     0   0
  58    776    1   800    0     0   0
  59    872    1   896    0     0   0
  60    328    1   352    0     0   0
  61    176    1   200    0     0   0
  62    256    1   280    0     0   0
  63    392    1   416    0     0   0
  64    504    1   528    0     0   0
  65    600    1   624    0     0   0
  66    712    1   736    0     0   0
  67    808    1   832    0     0   0
  68    936    1   960    0     0   0
  69   1032    1  1056    0     0   0
  70    104    1   128    0     0   0
  71    224    1   248    0     0   0
  72    328    1   352    0     0   0
  73    472    1   496    0     0   0
  74    584    1   608    0     0   0
  75    712    1   736    0     0   0
  76    840    1   864    0     0   0
  77    968    1   992    0     0   0
  78   1096    1  1120    0     0   0
  79   1224    1  1248    0     0   0
  80    120    1   144    0     0   0
  81    256    1   280    0     0   0
  82    392    1   416    0     0   0
  83    536    1   560    0     0   0
  84    680    1   704    0     0   0
  85    808    1   832    0     0   0
  86    968    1   992    0     0   0
  87   1096    1  1120    0     0   0
  88   1256    1  1280    0     0   0
  89   1384    1  1408    0     0   0
  90    136    1   160    0     0   0
  91    296    1   320    0     0   0
  92    456    1   480    0     0   0
  93    616    1   640    0     0   0
  94    776    1   800    0     0   0
  95    936    1   960    0     0   0
  96   1096    1  1120    0     0   0
  97   1256    1  1280    0     0   0
  98   1416    1  1440    0     0   0
  99   1544    1  1568    0     0   0
 100    144    1   168    0     0   0
 101    328    1   352    0     0   0
 102    504    1   528    0     0   0
 103    680    1   704    0     0   0
 104    872    1   896    0     0   0
 105   1032    1  1056    0     0   0
 106   1224    1  1248    0     0   0
 107   1384    1  1408    0     0   0
 108   1544    1  1568    0     0   0
 109   1736    1  1760    0     0   0
 110    176    1   200    0     0   0
 111    376    1   400    0     0   0
 112    584    1   608    0     0   0
 113    776    1   800    0     0   0
 114   1000    1  1024    0     0   0
 115   1192    1  1216    0     0   0
 116   1384    1  1408    0     0   0
 117   1608    1  1632    0     0   0
 118   1800    1  1824    0     0   0
 119   2024    1  2048    0     0   0
 120    208    1   232    0     0   0
 121    440    1   464    0     0   0
 122    680    1   704    0     0   0
 123    904    1   928    0     0   0
 124   1128    1  1152    0     0   0
 125   1352    1  1376    0     0   0
 126   1608    1  1632    0     0   0
 127   1800    1  1824    0     0   0
 128   2024    1  2048    0     0   0
 129   2280    1  2304    0     0   0
 130    224    1   248    0     0   0
 131    488    1   512    0     0   0
 132    744    1   768    0     0   0
 133   1000    1  1024    0     0   0
 134   1256    1  1280    0     0   0
 135   1544    1  1568    0     0   0
 136   1800    1  1824    0     0   0
 137   2024    1  2048    0     0   0
 138   2280    1  2304    0     0   0
 139   2536    1  2560    0     0   0
 140    256    1   280    0     0   0
 141    552    1   576    0     0   0
 142    840    1   864    0     0   0
 143   1128    1  1152    0     0   0
 144   1416    1  1440    0     0   0
 145   1736    1  1760    0     0   0
 146   1992    1  2016    0     0   0
 147   2280    1  2304    0     0   0
 148   2600    1  2624    0     0   0
 149   2856    1  2880    0     0   0
 150    280    1   304    0     0   0
 151    600    1   624    0     0   0
 152    904    1   928    0     0   0
 153   1224    1  1248    0     0   0
 154   1544    1  1568    0     0   0
 155   1800    1  1824    0     0   0
 156   2152    1  2176    0     0   0
 157   2472    1  2496    0     0   0
 158   2728    1  2752    0     0   0
 159   3112    1  3136    0     0   0
 160    328    1   352    0     0   0
 161    632    1   656    0     0   0
 162    968    1   992    0     0   0
 163   1288    1  1312    0     0   0
 164   1608    1  1632    0     0   0
 165   1928    1  1952    0     0   0
 166   2280    1  2304    0     0   0
 167   2600    1  2624    0     0   0
 168   2984    1  3008    0     0   0
 169   3240    1  3264    0     0   0
 170    336    1   360    0     0   0
 171    696    1   720    0     0   0
 172   1064    1  1088    0     0   0
 173   1416    1  1440    0     0   0
 174   1800    1  1824    0     0   0
 175   2152    1  2176    0     0   0
 176   2536    1  2560    0     0   0
 177   2856    1  2880    0     0   0
 178   3240    1  3264    0     0   0
 179   3624    1  3648    0     0   0
 180    376    1   400    0     0   0
 181    776    1   800    0     0   0
 182   1160    1  1184    0     0   0
 183   1544    1  1568    0     0   0
